deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
1,0.0-0.5,away,1492,299,1639,0.20040214477211796,0.18087080228473645,0.22147233351252976,True
1,0.5-1.0,away,1026,300,1052,0.29239766081871343,0.26537999309924787,0.32096415924418054,True
1,1.0-1.5,away,954,306,974,0.32075471698113206,0.29190455729483905,0.3510426690523984,True
1,1.5-2.0,away,991,325,1004,0.32795156407669024,0.2994351568159036,0.35779670803574715,True
1,2,away,1730,594,1865,0.34335260115606936,0.32134646274565093,0.3660528936892161,True
1,3,away,1698,619,1801,0.36454652532391046,0.341982944280609,0.38772162987012265,True
1,4,away,1668,649,1771,0.3890887290167866,0.3659714844602823,0.4127156830321405,True
1,5,away,1650,663,1747,0.4018181818181818,0.37841640415843036,0.4256760796683159,True
1,6,away,1671,614,1772,0.36744464392579296,0.34465719083770263,0.39084018395881537,True
1,7,away,1714,665,1818,0.3879813302217036,0.3651867727349015,0.41127690121501337,True
1,8,away,1771,662,1855,0.3738001129305477,0.3515628049775007,0.3965837338460203,True
1,9,away,1644,639,1724,0.3886861313868613,0.3654083505368819,0.4124829225078088,True
1,10,away,1993,818,2126,0.41043652784746615,0.38903206515965627,0.4321856017799748,True
1,11,away,2066,820,2187,0.3969022265246854,0.37601500970453755,0.41817213968892336,True
1,12,away,1983,773,2121,0.38981341401916286,0.36858000308531685,0.4114729211135724,True
1,13,away,2017,781,2143,0.38720872583044125,0.3661838056879084,0.4086624761780231,True
1,14,away,1996,769,2135,0.38527054108216435,0.36416016896234266,0.4068216928011091,True
1,15,away,2027,864,2147,0.426245683275777,0.40487620196832735,0.4478941962744503,True
1,16,away,2126,825,2248,0.3880526810912512,0.36755769362717927,0.40895150780827016,True
1,17,away,2143,851,2283,0.39710685954269714,0.37659208559001073,0.41798987145796157,True
1,18,away,2145,875,2256,0.40792540792540793,0.3873099886492852,0.4288700406278844,True
1,19,away,1890,766,1944,0.4052910052910053,0.38337069459351847,0.42759554461043614,True
1,20,away,2433,955,2603,0.3925195232223592,0.37329994528409494,0.4120779799778507,True
1,21,away,2388,935,2519,0.39154103852596317,0.3721533220282216,0.4112771526319733,True
1,22,away,2476,948,2614,0.38287560581583197,0.36392423348471936,0.40218986025417114,True
