deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
1,0.0-0.5,away,540,101,595,0.18703703703703703,0.15640005946825414,0.22209544363411976,True
1,0.5-1.0,away,395,115,405,0.2911392405063291,0.24852081640491352,0.33778111398549715,True
1,1.0-1.5,away,350,110,357,0.3142857142857143,0.2678889260758104,0.36471504134916155,True
1,1.5-2.0,away,335,112,341,0.33432835820895523,0.2859402555460786,0.38647304907767477,True
1,2,away,638,222,684,0.34796238244514105,0.31201053155919106,0.385734207952863,True
1,3,away,625,229,664,0.3664,0.32954814969949775,0.404884177932771,True
1,4,away,613,252,655,0.4110929853181077,0.37281316237694284,0.4504802082387874,True
1,5,away,584,225,622,0.3852739726027397,0.34667501703151543,0.42537241887638894,True
1,6,away,624,244,660,0.391025641025641,0.3535156376374389,0.42986921612185325,True
1,7,away,649,265,684,0.4083204930662558,0.37115136986442826,0.44656857935449396,True
1,8,away,637,237,662,0.37205651491365777,0.33539203750774066,0.4102549367211484,True
1,9,away,597,235,625,0.3936348408710218,0.35524379691113295,0.43338601833468227,True
1,10,away,737,297,790,0.40298507462686567,0.36816376404643564,0.4388125180629923,True
1,11,away,775,318,825,0.4103225806451613,0.37621578515046444,0.44531403554735133,True
1,12,away,723,280,773,0.3872752420470263,0.3524517103197159,0.42329034957338874,True
1,13,away,730,291,768,0.39863013698630134,0.3637317484794947,0.4345898511681678,True
1,14,away,718,307,761,0.4275766016713092,0.3918688225370035,0.4640552472312115,True
1,15,away,715,324,762,0.45314685314685316,0.4170053551477532,0.4897891319826521,True
1,16,away,780,301,827,0.3858974358974359,0.352372163125283,0.4205411397665259,True
1,17,away,771,315,829,0.4085603112840467,0.3743981961288343,0.4436291271331072,True
1,18,away,801,335,844,0.418227215980025,0.3845365375140761,0.4526985159424052,True
1,19,away,688,291,702,0.42296511627906974,0.3865769743119498,0.4602087639263983,True
1,20,away,904,365,968,0.40376106194690264,0.3722486068921028,0.43608800160876326,True
1,21,away,888,359,927,0.40427927927927926,0.37248017439971987,0.436903016516694,True
1,22,away,864,344,912,0.39814814814814814,0.3660269940461669,0.43117101996929397,True
1,23,away,845,350,881,0.41420118343195267,0.3814494855003339,0.44772948028079645,True
1,24,away,881,341,914,0.3870601589103292,0.35545292544144047,0.41964806438543933,True
1,25,away,932,349,969,0.37446351931330474,0.3439656883097443,0.40599199683697296,True
