deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
1,0.0-0.5,away,29,7,30,0.2413793103448276,0.12218268185062131,0.4210795221832869,False
1,0.5-1.0,away,23,8,23,0.34782608695652173,0.18811054636982238,0.5511002309310836,False
1,1.0-1.5,away,14,4,14,0.2857142857142857,0.11721187910109099,0.5464954117248438,False
1,1.5-2.0,away,17,4,18,0.23529411764705882,0.0955488907167594,0.47262245889171595,False
1,2,away,34,12,41,0.35294117647058826,0.21487714895296073,0.5208634116998658,True
1,3,away,36,15,37,0.4166666666666667,0.27140333505087283,0.5780003033572232,True
1,4,away,31,8,32,0.25806451612903225,0.1370154373686976,0.432464724277151,True
1,5,away,49,15,54,0.30612244897959184,0.1951532349314748,0.4452815740069374,True
1,6,away,32,9,36,0.28125,0.15564406845647866,0.4537483693811179,True
1,7,away,30,10,36,0.3333333333333333,0.19230295526846194,0.5122027418616973,True
1,8,away,38,13,40,0.34210526315789475,0.21212220026458956,0.5010818837092545,True
1,9,away,30,10,31,0.3333333333333333,0.19230295526846194,0.5122027418616973,True
1,10,away,51,20,55,0.39215686274509803,0.27027144858027696,0.5291508877483494,True
1,11,away,37,9,41,0.24324324324324326,0.13361203432663304,0.4011760249070895,True
1,12,away,46,18,49,0.391304347826087,0.2639302235524884,0.5354341628235508,True
1,13,away,44,16,48,0.36363636363636365,0.2378333412749142,0.5113389272110895,True
1,14,away,36,17,42,0.4722222222222222,0.31985792907209337,0.6299432837306054,True
1,15,away,44,19,47,0.4318181818181818,0.29682504164854573,0.5777610925944561,True
1,16,away,44,18,45,0.4090909090909091,0.2768764387900683,0.5559050735339343,True
1,17,away,43,21,45,0.4883720930232558,0.34617209277756,0.6324793623392592,True
1,18,away,57,21,61,0.3684210526315789,0.2552337550616508,0.4982244051445238,True
1,19,away,39,13,39,0.3333333333333333,0.20632766106915157,0.4902289567975947,True
1,20,away,45,19,50,0.4222222222222222,0.28968487981687807,0.566994672040555,True
1,21,away,51,18,59,0.35294117647058826,0.2363430538125979,0.49014195027189267,True
1,22,away,47,17,50,0.3617021276595745,0.2396602228576844,0.5046436542822955,True
1,23,away,60,23,61,0.38333333333333336,0.2708808958488824,0.5098263545959686,True
1,24,away,61,25,63,0.4098360655737705,0.2953514834927377,0.5350043374617113,True
1,25,away,53,19,54,0.3584905660377358,0.2430176984112362,0.4930910670000117,True
1,26,away,62,23,66,0.3709677419354839,0.26156988879274196,0.49542265087822607,True
1,27,away,61,17,67,0.2786885245901639,0.18188396512091543,0.40171668631273205,True
1,28,away,70,23,76,0.32857142857142857,0.22998711826717813,0.44499283883017626,True
1,29,away,50,12,53,0.24,0.14297252401872207,0.3741294937519236,True
1,30,away,88,32,92,0.36363636363636365,0.27079145605030686,0.4678890547421881,True
1,31,away,76,30,80,0.39473684210526316,0.2924641219449393,0.5071390924195023,True
1,32,away,86,25,91,0.29069767441860467,0.20532437829302622,0.3939703804824186,True
1,33,away,91,31,94,0.34065934065934067,0.25151222788130057,0.44271477798954106,True
1,34,away,98,33,105,0.336734693877551,0.25089992900091485,0.4348866258057654,True
1,35,away,98,28,104,0.2857142857142857,0.2056863230141654,0.3819085301696024,True
1,36,away,104,38,110,0.36538461538461536,0.27916831218415195,0.46119162312838047,True
1,37,away,134,40,144,0.29850746268656714,0.22752361778533114,0.3807223689124437,True
1,38,away,138,43,144,0.3115942028985507,0.24030592297139478,0.39308794737411745,True
1,39,away,75,23,77,0.30666666666666664,0.21386719822895706,0.4183066795208602,True
2,0.0-0.5,away,48,3,59,0.0625,0.021482843131227225,0.1683569766274222,True
2,0.5-1.0,away,20,3,22,0.15,0.05236779195949584,0.36042329588695743,False
2,1.0-1.5,away,22,7,22,0.3181818181818182,0.1636038735469248,0.5268177721716065,False
2,1.5-2.0,away,14,3,14,0.21428571428571427,0.0757124833691637,0.4758972377320828,False
2,2,away,35,11,38,0.3142857142857143,0.18550658059782457,0.47980071879251973,True
2,3,away,38,14,40,0.3684210526315789,0.23384013155413794,0.5271632717573987,True
2,4,away,29,8,29,0.27586206896551724,0.14698581338502742,0.45717476344435964,False
2,5,away,32,7,33,0.21875,0.11023696931531854,0.3875533079044484,True
2,6,away,34,9,35,0.2647058823529412,0.14601027541553796,0.4311746216289845,True
2,7,away,40,12,41,0.3,0.18074670915695296,0.454303106543204,True
2,8,away,45,16,45,0.35555555555555557,0.23218891356904048,0.5016445398804781,True
2,9,away,42,12,43,0.2857142857142857,0.1716685874457567,0.43567496077245566,True
2,10,away,61,19,67,0.3114754098360656,0.20937273683536856,0.43591670697847934,True
2,11,away,34,9,36,0.2647058823529412,0.14601027541553796,0.4311746216289845,True
2,12,away,49,14,54,0.2857142857142857,0.1784943493972417,0.4240914920610033,True
2,13,away,42,19,45,0.4523809523809524,0.3122316381863852,0.6005113725287732,True
2,14,away,44,15,49,0.3409090909090909,0.21875632628639946,0.4886113202806049,True
